case1	case2	response
"Awesome graphics !####[['graphics', 'positive']]
"	"feedback on creative 's product support is universally poor ; this is not limited to the zen , it applies to all the company 's products .####[['product support', 'negative']]
"	"Domain Relevance: 0
- Sentence 1 talks about ""graphics"" which could be a domain related to gaming, computer graphics, or visual design.
- Sentence 2 talks about ""product support"" which could be a domain related to customer service, technical support, or product management.
- The two sentences belong to different domains based on their focal aspects.

Sentiment Similarity: 0
- Sentence 1 expresses a positive sentiment about ""graphics"".
- Sentence 2 expresses a negative sentiment about ""product support"".
- The two sentences express opposite sentiments.

Syntactic Similarity: 0
- Sentence 1 has a shorter and simpler structure with no dependent clauses.
- Sentence 2 has a complex structure with multiple clauses, including a subordinate clause.
- The two sentences have different syntactic structures.

Lexical Similarity: 0
- Sentence 1 uses the word ""awesome"" to describe ""graphics"".
- Sentence 2 uses the words ""poor"" and ""not limited"" to describe ""product support"".
- The two sentences use different lexical choices and do not have similar words or phrases in common.

Therefore, the analysis is as follows:
- Domain Relevance: 0
- Sentiment Similarity: 0
- Syntactic Similarity: 0
- Lexical Similarity: 0"
"Awesome graphics !####[['graphics', 'positive']]
"	"omg what has the world come to , , they sang britney spears , awful , :####['britney spears', 'negative']
"	"Domain Relevance: 0 - The two sentences do not likely belong to the same domain. Sentence 1 is related to graphics while sentence 2 is related to music and performers.

Sentiment Similarity: 0 - The sentences express different sentiments. Sentence 1 expresses a positive sentiment towards graphics, while sentence 2 expresses a negative sentiment towards Britney Spears.

Syntactic Similarity: 0 - The grammatical structures of the two sentences are different. Sentence 1 is a simple statement, while sentence 2 is a longer sentence with multiple clauses.

Lexical Similarity: 0 - The sentences do not employ similar words, phrases, or constructions. Sentence 1 uses the word ""awesome"" to describe graphics, while sentence 2 uses phrases like ""omg"", ""what has the world come to"", and ""awful"" to express a negative opinion about Britney Spears."
"Awesome graphics !####[['graphics', 'positive']]
"	"If you liked Dan Brown 's Da Vinci Code you are going to love Will Adams .####[['Will Adams', 'positive']]
"	"Domain Relevance: 0
The two sentences do not likely belong to the same domain. Sentence 1 talks about graphics, which suggests it is related to some sort of visual media or technology domain. On the other hand, Sentence 2 mentions authors (Dan Brown and Will Adams) and books, indicating it is related to literature or writing domain.

Sentiment Similarity: 0
The two sentences do not express similar sentiments. Sentence 1 expresses a positive sentiment towards ""graphics"", while Sentence 2 expresses a positive sentiment towards ""Will Adams"". The sentiments are different, and their quantities and combination are not comparable.

Syntactic Similarity: 0
The grammatical structures of the two sentences are not similar. Sentence 1 is a simple sentence with an exclamatory statement, while Sentence 2 is a conditional sentence.

Lexical Similarity: 0
The sentences do not employ similar words, phrases, or constructions. Sentence 1 uses the word ""awesome"" to describe the ""graphics"", while Sentence 2 mentions authors and books (Dan Brown's ""Da Vinci Code"" and Will Adams).

Output:
0
0
0
0"
"Awesome graphics !####[['graphics', 'positive']]
"	"Though the picture , video , and music software is nowhere close to professional grade software Im used to ( CS5 ) but does the job for beginner and even intermediate media designers .####[['music software', 'negative']]
"	"Domain Relevance: 0 (The first sentence is about graphics while the second sentence is about picture, video, and music software which are different aspects and domains)
Sentiment Similarity: 0 (The first sentence expresses a positive sentiment about graphics while the second sentence expresses a negative sentiment about music software, they are not comparable)
Syntactic Similarity: 0 (The structure of the two sentences are different)
Lexical Similarity: 0 (The two sentences use different words and phrases to talk about different aspects)"
"Awesome graphics !####[['graphics', 'positive']]
"	"I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .####[['food', 'positive'], ['service', 'positive']]
"	"Domain Relevance: 0
Sentence 1 only mentions ""graphics"", while Sentence 2 mentions ""food"", ""ambience"", and ""service"" in a cafe. Therefore, the sentences likely belong to different domains.

Sentiment Similarity: 0
Sentence 1 expresses a positive sentiment towards ""graphics"", while Sentence 2 expresses positive sentiments towards ""food"" and ""service"". The sentiments expressed are different, and the quantities and combination of sentiments are not roughly equivalent.

Syntactic Similarity: 0
The grammatical structures of the two sentences are not similar. Sentence 1 is a short fragment, while Sentence 2 is a longer sentence with multiple aspects mentioned.

Lexical Similarity: 0
The sentences do not employ similar words or constructions. Sentence 1 focuses on ""graphics"", while Sentence 2 mentions ""food"", ""ambience"", and ""service"" in a cafe. The lexical choices are different."
"Awesome graphics !####[['graphics', 'positive']]
"	"There is a tremendous amount of work between the DQ's , individual projects and team projects .####[['work', 'neutral']]
"	"Domain Relevance: 0. The first sentence is related to graphics while the second sentence is related to work. They do not belong to the same domain.

Sentiment Similarity: 0. The first sentence expresses a positive sentiment while the second sentence expresses a neutral sentiment with no reference to positive or negative sentiments.

Syntactic Similarity: 0. The grammatical structure of the two sentences is vastly different. The first sentence is a simple exclamatory sentence while the second sentence is a complex sentence containing multiple clauses.

Lexical Similarity: 0. The two sentences employ different words and phrases. The only common word between the two sentences is ""projects,"" but it is used in different contexts and with a different sentiment."
"Awesome graphics !####[['graphics', 'positive']]
"	"Bharti Airtel Q2 results: Ten key takeaways####[['Bharti Airtel', 'neutral']]
"	"Domain Relevance: 0
Since the first sentence talks about ""graphics"", it likely belongs to the domain of gaming or technology. The second sentence is about ""Bharti Airtel"" and its Q2 results, which likely belongs to the domain of finance or business. Therefore, the two sentences are not likely to belong to the same domain.

Sentiment Similarity: 0
The sentiment in the first sentence is positive, indicating ""awesome graphics"". The sentiment in the second sentence is neutral, indicating no specific sentiment towards ""Bharti Airtel"". Therefore, the sentiments expressed in the two sentences are not similar.

Syntactic Similarity: 0
The syntactic structures of the two sentences are different. The first sentence is a simple exclamation with the subject ""graphics"", while the second sentence is a news headline mentioning ""Bharti Airtel Q2 results"" as the subject. Therefore, the syntactic structures of the two sentences are not similar.

Lexical Similarity: 0
The words used in the two sentences are different. The first sentence uses words related to graphics, while the second sentence uses words related to ""Bharti Airtel"" and its Q2 results. Therefore, the lexical choices in the two sentences are not similar.

Output:
Domain Relevance: 0
Sentiment Similarity: 0
Syntactic Similarity: 0
Lexical Similarity: 0"
"Awesome graphics !####[['graphics', 'positive']]
"	"i do here a constant high-pitched distorted sound , not to mention the volume does not seem to be loud enough .####[['sound', 'negative'], ['volume', 'negative']]
"	"Domain Relevance: 1 (Both sentences likely belong to the same domain of discussing a product or experience.)
Reason: Both sentences mention specific aspects related to a product or experience.

Sentiment Similarity: 0
Reason: Sentence 1 expresses a positive sentiment towards the aspect ""graphics"" while Sentence 2 expresses negative sentiments towards the aspects ""sound"" and ""volume"". The sentiments and quantities are not roughly equivalent.

Syntactic Similarity: 0
Reason: Sentence 1 has a simple structure with an exclamation mark at the end, while Sentence 2 has a more complex structure mentioning multiple aspects and their negative sentiments.

Lexical Similarity: 0
Reason: Sentence 1 uses positive words like ""awesome"" and ""graphics"", while Sentence 2 uses negative words like ""high-pitched distorted sound"", ""not"", ""mention"" and ""not loud enough"". The words used in the two sentences are different.

Output:
Domain Relevance: 1
Sentiment Similarity: 0
Syntactic Similarity: 0
Lexical Similarity: 0"
"Awesome graphics !####[['graphics', 'positive']]
"	"The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .####[['runs', 'positive'], ['iLife software', 'positive']]
"	"Domain Relevance: 0. The first sentence seems to be related to graphics, while the second one talks about the computer and software that comes with it. They do not seem to belong to the same domain.

Sentiment Similarity: 0. The first sentence expresses positive sentiment about graphics, while the second sentence has two aspect-sentiment pairs with positive sentiment, but they are related to the computer running fast and the iLife software being helpful. They are not equivalent in terms of sentiment and quantity.

Syntactic Similarity: 0. The two sentences have different structures. The first sentence is a simple exclamation about graphics, while the second sentence has a complex structure with multiple clauses connected by conjunctions.

Lexical Similarity: 0. The two sentences use different words and phrases. The first sentence only mentions ""graphics"", while the second sentence talks about the ""computer"", ""iLife software"", ""iPhoto"", ""iMovie"", ""iWeb"", ""iTunes"", and ""GarageBand""."
"Awesome graphics !####[['graphics', 'positive']]
"	"Bet on Technocraft for strong export play, cheap valuations####[['Technocraft', 'positive']]
"	"Domain Relevance: 0
Sentiment Similarity: 0
Syntactic Similarity: 0
Lexical Similarity: 0

Reasoning:
- Domain Relevance: The first sentence talks about ""graphics"" which seems to be related to a gaming or technology domain. The second sentence talks about ""Technocraft"" which appears to be a company or brand name. The two sentences do not likely belong to the same domain.
- Sentiment Similarity: The first sentence expresses a positive sentiment about ""graphics"" while the second sentence expresses a positive sentiment about ""Technocraft"". The sentiments are different, and there is no combination or quantity similarity between them.
- Syntactic Similarity: The grammatical structures of the two sentences are different. The first sentence is a simple exclamation, while the second sentence is mentioning a company to bet on.
- Lexical Similarity: The two sentences have different words and phrases. The first sentence mentions ""graphics"" and the second sentence mentions ""Technocraft"", ""export play"", and ""cheap valuations"". There is no similarity in lexical choice between the two sentences."
"IMFA Q1 net drops 64% on lower demand for ferro alloys####[['IMFA', 'negative'], ['ferro alloys', 'negative']]
"	"THE FOOD PORTIONS ARE REALLY LARGE .####[['FOOD PORTIONS', 'positive']]
"	"Domain Relevance: 0 - The first sentence is related to the domain of business and finance (IMFA, net drops, demand for ferro alloys), while the second sentence is related to the domain of food (FOOD PORTIONS). These domains are not likely to be the same.

Sentiment Similarity: 0 - The first sentence expresses negative sentiments towards both ""IMFA"" and ""ferro alloys"", while the second sentence expresses a positive sentiment towards ""FOOD PORTIONS"". The sentiments expressed are not similar.

Syntactic Similarity: 0 - The grammatical structures of the two sentences are not similar. The first sentence is a statement about a drop in net income, while the second sentence is a statement about the size of food portions.

Lexical Similarity: 0 - The words and phrases used in the two sentences are not similar. The first sentence uses terms related to business and finance (IMFA, net drops, demand for ferro alloys), while the second sentence uses terms related to food (FOOD PORTIONS).

Therefore, the analysis is as follows:
- Domain Relevance: 0
- Sentiment Similarity: 0
- Syntactic Similarity: 0
- Lexical Similarity: 0"
"IMFA Q1 net drops 64% on lower demand for ferro alloys####[['IMFA', 'negative'], ['ferro alloys', 'negative']]
"	"Sterling near 4-week low vs euro ahead of UK inflation data####[['Sterling', 'negative']]
"	"Domain Relevance: 0
Reason: Sentence 1 is related to the domain of ferro alloys and Sentence 2 is related to the domain of currency exchange rates. These are different domains.

Sentiment Similarity: 0
Reason: Sentence 1 expresses a negative sentiment towards ""IMFA"" and ""ferro alloys"", while Sentence 2 expresses a negative sentiment towards ""Sterling"". The sentiments are different.

Syntactic Similarity: 0
Reason: The grammatical structure of Sentence 1 is ""IMFA Q1 net drops 64% on lower demand for ferro alloys"", while the structure of Sentence 2 is ""Sterling near 4-week low vs euro ahead of UK inflation data"". The structures are different.

Lexical Similarity: 0
Reason: The words and phrases used in Sentence 1 are ""IMFA"", ""Q1"", ""net drops"", ""64%"", ""lower demand"", and ""ferro alloys"". The words and phrases used in Sentence 2 are ""Sterling"", ""4-week low"", ""vs"", ""euro"", ""ahead of"", ""UK inflation data"". The lexical choices are different.

Therefore, the output is:
Domain Relevance: 0
Sentiment Similarity: 0
Syntactic Similarity: 0
Lexical Similarity: 0"
"IMFA Q1 net drops 64% on lower demand for ferro alloys####[['IMFA', 'negative'], ['ferro alloys', 'negative']]
"	"Tiffany made my first experience with airbnb perfect .####[['Tiffany', 'positive']]
"	"Domain Relevance: 0
Explanation: The two sentences do not likely belong to the same domain. Sentence 1 is related to the financial industry, specifically about a company's net drop due to lower demand for a specific product (ferro alloys), while Sentence 2 is about a personal experience with airbnb.

Sentiment Similarity: 0
Explanation: The two sentences express different sentiments. Sentence 1 includes a negative sentiment towards ""IMFA"" and ""ferro alloys"" due to the drop in net, while Sentence 2 expresses a positive sentiment towards ""Tiffany"" for making the first airbnb experience perfect.

Syntactic Similarity: 0
Explanation: The grammatical structures of the two sentences are not similar. Sentence 1 is a declarative sentence with subject-verb-object structure, while Sentence 2 is a declarative sentence with a different subject-verb-object structure.

Lexical Similarity: 0
Explanation: The two sentences do not employ similar words or phrases. Sentence 1 mentions ""IMFA"", ""Q1"", ""net drops"", and ""ferro alloys"", while Sentence 2 mentions ""Tiffany"", ""first experience"", and ""airbnb"". There are no shared words or phrases between the two sentences."
"IMFA Q1 net drops 64% on lower demand for ferro alloys####[['IMFA', 'negative'], ['ferro alloys', 'negative']]
"	"I recommend their Pad See Ew , Pork Chops or Tofu plates .####[['Pad See Ew', 'positive']]
"	"Domain Relevance: 0
The two sentences do not likely belong to the same domain. Sentence 1 is related to a business or financial domain, specifically about the drop in net income for IMFA due to lower demand for ferro alloys. Sentence 2 is about recommending specific food dishes, indicating a different domain, likely related to food or restaurants.

Sentiment Similarity: 0
The sentences express different sentiments. Sentence 1 indicates a negative sentiment towards IMFA and ferro alloys due to the 64% drop in net income. Sentence 2 expresses a positive sentiment, recommending specific dishes. The sentiments are opposite to each other.

Syntactic Similarity: 0
The grammatical structures of the two sentences are different. Sentence 1 is a statement about a decline in net income, while sentence 2 is a recommendation for specific food dishes. The sentence structures are not similar.

Lexical Similarity: 0
The sentences do not employ similar words, phrases, or constructions. Sentence 1 uses words related to finance and business, such as ""net drops"", ""demand for ferro alloys"". Sentence 2 uses words related to food, such as ""Pad See Ew"", ""Pork Chops"", ""Tofu plates"". The lexical choices are different between the two sentences."
"IMFA Q1 net drops 64% on lower demand for ferro alloys####[['IMFA', 'negative'], ['ferro alloys', 'negative']]
"	"A truly beautiful place in a perfect location####[['place', 'positive'], ['location', 'positive']]
"	"Domain Relevance: 0. 
Reason: The first sentence talks about a company ""IMFA"" and a drop in its net profit due to lower demand for ""ferro alloys"". The second sentence talks about a ""place"" and its ""location"". Although both sentences talk about different things, they do not necessarily belong to completely different domains.

Sentiment Similarity: 0. 
Reason: The sentiment of the first sentence is negative as it talks about a drop in net profit. The sentiment of the second sentence is positive as it describes a ""beautiful place in a perfect location"". The sentiments expressed are completely opposite.

Syntactic Similarity: 0. 
Reason: The first sentence is in the form of a news headline and is very brief and direct in its language. The second sentence has more descriptive language and provides more details. The structures of the two sentences are different.

Lexical Similarity: 0. 
Reason: The first sentence uses technical business terms such as ""net drops"" and ""ferro alloys"". The second sentence uses terms such as ""beautiful"" and ""perfect location"". There is little overlap in the vocabulary used in the two sentences."
"IMFA Q1 net drops 64% on lower demand for ferro alloys####[['IMFA', 'negative'], ['ferro alloys', 'negative']]
"	"There are lists for every dog-lover , or stressed out manager , or converstations for military house-wives .####[['lists', 'positive']]
"	"Domain Relevance: 0
Sentiment Similarity: 0
Syntactic Similarity: 0
Lexical Similarity: 0

Reasoning:
- Domain Relevance: The two sentences belong to different domains. Sentence 1 talks about the financial performance of a company in the ferro alloys industry, while Sentence 2 talks about lists for dog-lovers, stressed out managers, and military housewives. The topics are unrelated.
- Sentiment Similarity: Sentence 1 expresses negative sentiment towards ""IMFA"" and ""ferro alloys,"" while Sentence 2 expresses positive sentiment towards ""lists."" The sentiments are not similar.
- Syntactic Similarity: The grammatical structures of the two sentences are different. Sentence 1 is a simple declarative sentence, while Sentence 2 is a complex sentence with multiple clauses.
- Lexical Similarity: The lexical choices in the two sentences are different. Sentence 1 uses financial and business-related terms like ""net drops"" and ""demand,"" while Sentence 2 uses terms like ""dog-lover,"" ""stressed out,"" ""manager,"" ""conversations,"" and ""military housewives."" There are no common words or phrases between the two sentences."
"IMFA Q1 net drops 64% on lower demand for ferro alloys####[['IMFA', 'negative'], ['ferro alloys', 'negative']]
"	"We love love his house fully equipped and his generosity .####[['house', 'positive'], ['generosity', 'positive']]
"	"Domain Relevance: 1
Reason: Both sentences seem to belong to different domains. Sentence 1 talks about the drop in net income for IMFA due to lower demand for ferro alloys, suggesting it belongs to the finance or business domain. Sentence 2, on the other hand, talks about someone loving a fully equipped house and someone's generosity, suggesting it belongs to the personal or lifestyle domain.

Sentiment Similarity: 0
Reason: The sentiment expressed in sentence 1 is negative, as indicated by the sentiment labels ""negative"" for both ""IMFA"" and ""ferro alloys"". In contrast, sentence 2 expresses positive sentiment, as indicated by the sentiment labels ""positive"" for both ""house"" and ""generosity"". The sentiments are opposite.

Syntactic Similarity: 0
Reason: The grammatical structures of the two sentences are not similar. Sentence 1 is a simple declarative sentence with a subject, verb, and object structure. Sentence 2 is also a declarative sentence, but it includes additional adjectives and a coordinating conjunction.

Lexical Similarity: 0
Reason: The words, phrases, and constructions used in the two sentences are different. Sentence 1 mentions ""IMFA"", ""Q1"", ""net drops"", ""lower demand"", and ""ferro alloys"". Sentence 2 mentions ""house"", ""fully equipped"", and ""generosity"". There is no overlap in the lexical choices between the two sentences.

Therefore, the output should be:
- Domain Relevance: 0
- Sentiment Similarity: 0
- Syntactic Similarity: 0
- Lexical Similarity: 0"
"IMFA Q1 net drops 64% on lower demand for ferro alloys####[['IMFA', 'negative'], ['ferro alloys', 'negative']]
"	"The author does an excellent job presenting both the science and the art of cancer research as well as its impact on patient care and treatment .####[['job', 'positive']]
"	"Domain Relevance: 0 
Reason: Sentence 1 is about a company's financial performance in the ferro alloys industry, while Sentence 2 is about cancer research and patient care. These two sentences do not belong to the same domain.

Sentiment Similarity: 0 
Reason: Sentence 1 expresses a negative sentiment towards the company's net drop in Q1, while Sentence 2 expresses a positive sentiment towards the author's presentation of cancer research. The sentiments are different, and the quantities and combinations of sentiments are not comparable.

Syntactic Similarity: 0 
Reason: The grammatical structures of the two sentences are different. Sentence 1 is a simple statement with subject-verb-object structure, while Sentence 2 is a complex sentence with multiple clauses and phrases.

Lexical Similarity: 0 
Reason: The words and phrases used in the two sentences are different. Sentence 1 mentions ""IMFA,"" ""Q1,"" ""net,"" ""drops,"" and ""demand for ferro alloys,"" while Sentence 2 mentions ""author,"" ""excellent job,"" ""science,"" ""art,"" ""cancer research,"" ""impact,"" ""patient care,"" and ""treatment."" There is no overlap in the lexical choices."
"IMFA Q1 net drops 64% on lower demand for ferro alloys####[['IMFA', 'negative'], ['ferro alloys', 'negative']]
"	"made a yummy spagettie bolenaise for dinna and now im watching labor pains , it has lindsay lohan in it , its kinda funny = -RSB-####['lindsay lohan', 'negative']
"	"Domain Relevance: 0 (The two sentences belong to different domains - finance and personal life)
Reasoning: The first sentence talks about financial results of a company, while the second sentence talks about personal life and entertainment.

Sentiment Similarity: 0
Reasoning: The first sentence expresses negative sentiment towards ""IMFA"" and ""ferro alloys"" due to a drop in net value. The second sentence expresses a positive sentiment towards making yummy ""spaghetti bolognese"" but a negative sentiment towards ""Lindsay Lohan"". These are two different sentiments and cannot be considered similar.

Syntactic Similarity: 0
Reasoning: The two sentences have different syntactic structures. The first sentence is a straightforward declarative sentence, while the second sentence is more complex, involving multiple clauses and phrases.

Lexical Similarity: 0
Reasoning: The two sentences use completely different vocabulary. The first sentence contains technical terms like ""IMFA"" and ""ferro alloys"", while the second sentence contains casual language like ""yummy"", ""dinna"", and ""funny""."
